way_id,highway,name,oneway,maxspeed_kmh,node_refs
27009007,residential,улица Кеменгер,no,25,296044439 6913817217 4355757450 4816757796 294985565 4355757453 4804127565 2495239692 296044440 4804127563 4804127564 3955501510 294988654 294988651 296044442
27009010,residential,улица Манат,no,25,294985491 296047754 294988655 3955716434 4795534333 294988650 2395910068 296044443
27009011,residential,улица Серёгина,yes,25,2389310278 296044449 296044444
27009014,residential,,no,25,1969748405 2384982999 2384982997 11066132400 1980870752 10923154057 2395910063 4115066003 2395910055 4355758244 296044454
27009172,residential,улица Аккогершин,no,25,4804127559 294988774 4804127562 294988657 296047666 294988790 4804116420 4804116419 4804116418 296047675 4804116417 4804116416
27009173,residential,улица Сыйластык,no,25,294985348 2999658524 294988771 294988659 4816757822 296047752 11336010092 4816757823 294988792
27009176,residential,улица Шариповой,no,25,299444918 296047666 11336010094 11336010093 296047752 433047844 11336010091 11336010090 296047749 11336010089 299443092 11336010087 296042642 299443093 11336010086 4816757827 296042641 11336010085 4816757826 296042640 11336010084 1884841694 11336010083 11336010082 296042643 11336010080 11336010081 623138123 296047734 296047726 294981164 8067892554
27009404,trunk,,yes,90,296051047 2481609441 1389358574 4288325433 1389358585
27082320,residential,улица Акбата,no,25,11168812611 11168812610 11168803921 2817468086 2817468087 2817468088
27082321,residential,улица Сланова,no,25,2821520006 7643203641 3056765625 3056765623 1660166207 13752617706 10866987083 7010528846
27082322,residential,Мақтай Сағдиев көшесі,no,25,297129231 10821751173 10821751153 10821751152 10821751151 10821751150 10821751149 10821751148 10821751147 299444925 10821751157 10821751156 10821751155 10821751154 297129233
27082324,residential,Смайыл Өтегенов көшесі,no,25,294983193 1660166196 11849674163 13622813135
27082325,residential,Мауытхан Сыдықов көшесі,no,25,294983531 1942864022 2824622800 11849674164 10866987098
27082326,residential,улица Буланды,no,25,294983535 2824622802 11849674165 9264475677
27082327,residential,Сағатай Маркабаев көшесі,no,25,294983439 13272141862 13272141863 11849674166 9264475676
27082329,residential,Мақтай Сағдиев көшесі,no,25,297129427 297129424 3056765604 11078360674 3056765598 3056765594 297129353
27082330,residential,Шәкен Ниязбеков көшесі,no,25,3056765622 3056765621 297129390 297129422 297129413 3056765619 3056765618 297129420
27082331,residential,улица Жигер,no,25,2821520005 2821520004 2821520003 2821520002 297129422 297129424 3056765620 10108876114 10870428153
27082332,residential,улица Сланова,no,25,297129429 2449381698 1649195536 1649195533 2485106809 1824464077
27082333,residential,Сергей Дьяченко көшесі,no,25,294983391 1371087738 1371087751 11849674160 9264475675
27278915,residential,улица Тайторы батыра,no,25,299436140 7380370752 623138131 299436141
27278917,residential,улица Косынова,no,25,2493228324 8178590034 299443090
27278918,residential,,no,25,10268085487 6209088835
27278920,residential,улица Лапина,no,25,299436160 2999815120 299436169 299436178 10268085382 299436187
27278922,residential,улица Айтей батыра,no,25,299436190 10268085385 299436191 299436195
27278924,residential,улица Нурмухамедова,no,25,299436144 4732579699 2821704649 7380370753 10270091093 10940004807 10270091095 10270091094 299436143 10270091091 299436142 10270091092 2821704650 2821704651 2821704652 8178590038 8178590037 8178590036 8178590035 8178590034
27278925,residential,улица Смайылова,no,25,299436309 10268085384 299436310
27278926,tertiary,улица Аспандиярова,no,40,299436330 7385503566 294985303 299436313 10268085383 9342513250
27278927,residential,Нұрпейісов көшесі,no,25,299436358 7385503565 299443087 299436315 299436314
27278928,residential,улица Тыныбаева,no,25,299436359 299436360 299443086
27278929,residential,улица Тайторы батыра,no,25,299436319 9358279400 10866987086 10866987087 10268085484 10268085483
27278930,tertiary,,no,40,299437141 6211796202 3182294862 1236057194
27278932,residential,улица Айтей батыра,no,25,299436327 299443089 299436307
27278933,residential,улица Смайылова,no,25,291170327 299443088 299436329
27278934,tertiary,улица Сабденова,no,40,2824622860 12053294069 2824622861 6208898750 2824622862 2824622863 2829324820 2824622864 2824622865 2824622866 2824622867 2554140554 299436396
27278935,residential,Райымбек Сейтметов көшесі,no,25,299436431 299443047 299443085 299436437
27278936,residential,улица Кабылбаева,no,25,299436212 299436459 294985304 299443046 299436441
27278937,residential,улица Казыбекова,no,25,13748852519 13748852520 13748852521 299443048 11025760801 299443073 299443062 12027822940
27278939,tertiary,Әбдіразақ Елібаев көшесі,no,40,299436470 299436557 299436563 299436773 299436670 299436475 2555498904 691397385 2817392538 691397387 2817392543
